ambito,comunidad,titular,periodo,total,com_cod,com_nom,lag_1,lag_2,rolling_mean_2
Total Nacional,01 Andalucia,Persona física,2016,7604,1,Andalucia,9941.0,8755.0,9348.0
Total Nacional,01 Andalucia,Persona física,2017,4409,1,Andalucia,7604.0,9941.0,8772.5
Total Nacional,01 Andalucia,Persona física,2018,2513,1,Andalucia,4409.0,7604.0,6006.5
Total Nacional,01 Andalucia,Persona física,2019,1802,1,Andalucia,2513.0,4409.0,3461.0
Total Nacional,01 Andalucia,Persona física,2020,2013,1,Andalucia,1802.0,2513.0,2157.5
Total Nacional,01 Andalucia,Persona física,2021,3674,1,Andalucia,2013.0,1802.0,1907.5
Total Nacional,01 Andalucia,Persona física,2022,3745,1,Andalucia,3674.0,2013.0,2843.5
Total Nacional,01 Andalucia,Persona física,2023,2863,1,Andalucia,3745.0,3674.0,3709.5
Total Nacional,01 Andalucia,Persona jurídica,2016,3971,1,Andalucia,6305.0,7714.0,7009.5
Total Nacional,01 Andalucia,Persona jurídica,2017,3368,1,Andalucia,3971.0,6305.0,5138.0
Total Nacional,01 Andalucia,Persona jurídica,2018,2691,1,Andalucia,3368.0,3971.0,3669.5
Total Nacional,01 Andalucia,Persona jurídica,2019,4046,1,Andalucia,2691.0,3368.0,3029.5
Total Nacional,01 Andalucia,Persona jurídica,2020,1640,1,Andalucia,4046.0,2691.0,3368.5
Total Nacional,01 Andalucia,Persona jurídica,2021,1083,1,Andalucia,1640.0,4046.0,2843.0
Total Nacional,01 Andalucia,Persona jurídica,2022,759,1,Andalucia,1083.0,1640.0,1361.5
Total Nacional,01 Andalucia,Persona jurídica,2023,576,1,Andalucia,759.0,1083.0,921.0
Total Nacional,01 Andalucia,Total,2016,11575,1,Andalucia,16246.0,16469.0,16357.5
Total Nacional,01 Andalucia,Total,2017,7777,1,Andalucia,11575.0,16246.0,13910.5
Total Nacional,01 Andalucia,Total,2018,5204,1,Andalucia,7777.0,11575.0,9676.0
